Count,Modem,Time
253,d3ad1351,3242029
254,d3ad1351,3257173
255,d3ad1351,3272315
256,d3ad1351,3287459
257,d3ad1351,3302654
258,d3ad1351,3317798
259,d3ad1351,3332942
260,d3ad1351,3348066
261,d3ad1351,3363182
262,d3ad1351,3378298
263,d3ad1351,3393414
264,d3ad1351,3408584
265,d3ad1351,3423725
266,d3ad1351,3438844
267,d3ad1351,3453993
268,d3ad1351,3469187
269,d3ad1351,3484358
270,d3ad1351,3499527
271,d3ad1351,3514643
272,d3ad1351,3529787
273,d3ad1351,3544904
274,d3ad1351,3560056
275,d3ad1351,3575180
276,d3ad1351,3590298
277,d3ad1351,3605414
278,d3ad1351,3620533
279,d3ad1351,3635654
280,d3ad1351,3650774
281,d3ad1351,3665899
282,d3ad1351,3681069
283,d3ad1351,3696193
284,d3ad1351,3711363
285,d3ad1351,3726504
286,d3ad1351,3741648
287,d3ad1351,3756764
288,d3ad1351,3771891
289,d3ad1351,3787081
290,d3ad1351,3802200
291,d3ad1351,3817400
292,d3ad1351,3832570
293,d3ad1351,3847791
294,d3ad1351,3862914
295,d3ad1351,3878056
296,d3ad1351,3893226
297,d3ad1351,3908403
298,d3ad1351,3923522
299,d3ad1351,3938637
300,d3ad1351,3953807
301,d3ad1351,3968925
302,d3ad1351,3984070
303,d3ad1351,3999210
304,d3ad1351,4014330
305,d3ad1351,4029455
306,d3ad1351,4044599
307,d3ad1351,4059775
308,d3ad1351,4074894
309,d3ad1351,4090010
310,d3ad1351,4105129
311,d3ad1351,4120347
312,d3ad1351,4135464
313,d3ad1351,4150735
314,d3ad1351,4165862
315,d3ad1351,4180978
316,d3ad1351,4196174
317,d3ad1351,4211317
318,d3ad1351,4226436
319,d3ad1351,4241577
320,d3ad1351,4256695
321,d3ad1351,4271836
322,d3ad1351,4286955
323,d3ad1351,4302079
324,d3ad1351,4317196
325,d3ad1351,4332317
326,d3ad1351,4347538
327,d3ad1351,4362683
328,d3ad1351,4377800
329,d3ad1351,4392919
330,d3ad1351,4408071
331,d3ad1351,4423242
332,d3ad1351,4438383
333,d3ad1351,4453502
334,d3ad1351,4468623
335,d3ad1351,4483774
336,d3ad1351,4498893
337,d3ad1351,4514035
338,d3ad1351,4529154
339,d3ad1351,4544295
340,d3ad1351,4559515
341,d3ad1351,4574684
342,d3ad1351,4589807
343,d3ad1351,4604982
344,d3ad1351,4620103
345,d3ad1351,4635219
346,d3ad1351,4650364
347,d3ad1351,4665490
348,d3ad1351,4680635
349,d3ad1351,4695777
350,d3ad1351,4710929
351,d3ad1351,4726045
352,d3ad1351,4741214
353,d3ad1351,4756331
354,d3ad1351,4771449
355,d3ad1351,4786591
356,d3ad1351,4801758
357,d3ad1351,4816878
358,d3ad1351,4831999
359,d3ad1351,4847120
360,d3ad1351,4862346
361,d3ad1351,4877465
362,d3ad1351,4892584
363,d3ad1351,4907753
364,d3ad1351,4922904
365,d3ad1351,4938048
366,d3ad1351,4953173
367,d3ad1351,4968318
368,d3ad1351,4983438
369,d3ad1351,4998706
370,d3ad1351,5013875
371,d3ad1351,5028996
372,d3ad1351,5044113
373,d3ad1351,5059286
374,d3ad1351,5074532
375,d3ad1351,5089647
376,d3ad1351,5104791
377,d3ad1351,5120013
378,d3ad1351,5135134
379,d3ad1351,5150248
380,d3ad1351,5165415
381,d3ad1351,5180618
382,d3ad1351,5195735
383,d3ad1351,5210857
384,d3ad1351,5225981
385,d3ad1351,5241100
386,d3ad1351,5256219
387,d3ad1351,5271386
388,d3ad1351,5286505
389,d3ad1351,5301672
390,d3ad1351,5316816
391,d3ad1351,5331956
392,d3ad1351,5347072
393,d3ad1351,5362217
394,d3ad1351,5377361
395,d3ad1351,5392477
396,d3ad1351,5407597
397,d3ad1351,5422712
398,d3ad1351,5437833
399,d3ad1351,5452981
400,d3ad1351,5468130
401,d3ad1351,5483274
402,d3ad1351,5498393
403,d3ad1351,5513511
404,d3ad1351,5528656
405,d3ad1351,5543779
406,d3ad1351,5558948
407,d3ad1351,5574069
408,d3ad1351,5589188
409,d3ad1351,5604305
410,d3ad1351,5619425
411,d3ad1351,5634573
412,d3ad1351,5649692
413,d3ad1351,5664812
414,d3ad1351,5679982
415,d3ad1351,5695106
416,d3ad1351,5710225
417,d3ad1351,5725400
418,d3ad1351,5740549
419,d3ad1351,5755774
420,d3ad1351,5770919
421,d3ad1351,5786061
422,d3ad1351,5801254
423,d3ad1351,5816503
424,d3ad1351,5831623
425,d3ad1351,5846790
426,d3ad1351,5861910
427,d3ad1351,5877054
428,d3ad1351,5892174
429,d3ad1351,5907292
430,d3ad1351,5922411
431,d3ad1351,5937534
432,d3ad1351,5952654
433,d3ad1351,5967779
434,d3ad1351,5982976
435,d3ad1351,5998167
436,d3ad1351,6013311
437,d3ad1351,6028453
438,d3ad1351,6043598
439,d3ad1351,6058719
440,d3ad1351,6073838
441,d3ad1351,6088958
442,d3ad1351,6104077
443,d3ad1351,6119272
444,d3ad1351,6134389
445,d3ad1351,6149506
446,d3ad1351,6164627
447,d3ad1351,6179745
448,d3ad1351,6194863
449,d3ad1351,6210033
450,d3ad1351,6225254
451,d3ad1351,6240373
452,d3ad1351,6255493
453,d3ad1351,6270638
454,d3ad1351,6285756
455,d3ad1351,6300900
456,d3ad1351,6316018
457,d3ad1351,6331138
458,d3ad1351,6346410
459,d3ad1351,6361606
460,d3ad1351,6376725
461,d3ad1351,6391925
462,d3ad1351,6407045
463,d3ad1351,6422189
464,d3ad1351,6437333
465,d3ad1351,6452458
466,d3ad1351,6467578
467,d3ad1351,6482775
468,d3ad1351,6497894
469,d3ad1351,6513009
470,d3ad1351,6528178
471,d3ad1351,6543326
472,d3ad1351,6558446
473,d3ad1351,6573587
474,d3ad1351,6588707
475,d3ad1351,6603876
476,d3ad1351,6619023
477,d3ad1351,6634139
478,d3ad1351,6649285
479,d3ad1351,6664427
480,d3ad1351,6679573
481,d3ad1351,6694718
482,d3ad1351,6709863
483,d3ad1351,6725036
484,d3ad1351,6740211
485,d3ad1351,6755331
486,d3ad1351,6770552
487,d3ad1351,6785697
488,d3ad1351,6800814
489,d3ad1351,6815933
490,d3ad1351,6831103
491,d3ad1351,6846223
492,d3ad1351,6861348
493,d3ad1351,6876518
494,d3ad1351,6891714
495,d3ad1351,6906830
496,d3ad1351,6921974
497,d3ad1351,6937143
498,d3ad1351,6952312
499,d3ad1351,6967430
500,d3ad1351,6982575
501,d3ad1351,6997746
502,d3ad1351,7012917
503,d3ad1351,7028060
504,d3ad1351,7043179
505,d3ad1351,7058349
506,d3ad1351,7073493
507,d3ad1351,7088638
508,d3ad1351,7103757
509,d3ad1351,7118875
510,d3ad1351,7133994
511,d3ad1351,7149113
512,d3ad1351,7164255
513,d3ad1351,7179371
514,d3ad1351,7194725
515,d3ad1351,7209842
516,d3ad1351,7224962
517,d3ad1351,7240108
518,d3ad1351,7255226
519,d3ad1351,7270345
520,d3ad1351,7285464
521,d3ad1351,7300579
522,d3ad1351,7315724
523,d3ad1351,7330847
524,d3ad1351,7345964
525,d3ad1351,7361110
526,d3ad1351,7376281
527,d3ad1351,7391396
528,d3ad1351,7406538
529,d3ad1351,7421658
530,d3ad1351,7436804
531,d3ad1351,7451929
532,d3ad1351,7467046
533,d3ad1351,7482188
534,d3ad1351,7497334
535,d3ad1351,7512475
536,d3ad1351,7527698
537,d3ad1351,7542814
538,d3ad1351,7557932
539,d3ad1351,7573047
540,d3ad1351,7588167
541,d3ad1351,7603281
542,d3ad1351,7618427
543,d3ad1351,7633546
544,d3ad1351,7648716
545,d3ad1351,7663835
546,d3ad1351,7678955
547,d3ad1351,7694128
548,d3ad1351,7709247
549,d3ad1351,7724362
550,d3ad1351,7739479
551,d3ad1351,7754599
552,d3ad1351,7769721
553,d3ad1351,7784836
554,d3ad1351,7799982
555,d3ad1351,7815105
556,d3ad1351,7830275
557,d3ad1351,7845400
558,d3ad1351,7860549
559,d3ad1351,7875669
560,d3ad1351,7890794
561,d3ad1351,7905937
562,d3ad1351,7921082
563,d3ad1351,7936248
564,d3ad1351,7951392
565,d3ad1351,7966512
566,d3ad1351,7981632
567,d3ad1351,7996805
568,d3ad1351,8011924
569,d3ad1351,8027041
570,d3ad1351,8042209
571,d3ad1351,8057329
572,d3ad1351,8072454
573,d3ad1351,8087620
574,d3ad1351,8102791
575,d3ad1351,8117985
576,d3ad1351,8133205
577,d3ad1351,8148326
578,d3ad1351,8163445
579,d3ad1351,8178635
580,d3ad1351,8193780
581,d3ad1351,8208951
582,d3ad1351,8224070
583,d3ad1351,8239190
584,d3ad1351,8254387
585,d3ad1351,8269528
586,d3ad1351,8284673
587,d3ad1351,8299865
588,d3ad1351,8314982
589,d3ad1351,8330122
590,d3ad1351,8345294
591,d3ad1351,8360417
592,d3ad1351,8375562
593,d3ad1351,8390687
594,d3ad1351,8405811
595,d3ad1351,8420953
596,d3ad1351,8436096
597,d3ad1351,8451217
598,d3ad1351,8466385
599,d3ad1351,8481509
600,d3ad1351,8496626
601,d3ad1351,8511749
602,d3ad1351,8526948
603,d3ad1351,8542065
604,d3ad1351,8557237
605,d3ad1351,8572357
606,d3ad1351,8587476
607,d3ad1351,8602642
608,d3ad1351,8617786
609,d3ad1351,8632928
610,d3ad1351,8648073
611,d3ad1351,8663191
612,d3ad1351,8678310
613,d3ad1351,8693475
614,d3ad1351,8708643
615,d3ad1351,8723760
616,d3ad1351,8738880
617,d3ad1351,8754175
618,d3ad1351,8769294
619,d3ad1351,8784467
620,d3ad1351,8799663
621,d3ad1351,8814777
622,d3ad1351,8829897
623,d3ad1351,8845042
624,d3ad1351,8860185
625,d3ad1351,8875351
626,d3ad1351,8890521
627,d3ad1351,8905638
628,d3ad1351,8920781
629,d3ad1351,8935901
630,d3ad1351,8951019
631,d3ad1351,8966139
632,d3ad1351,8981287
633,d3ad1351,8996433
634,d3ad1351,9011652
635,d3ad1351,9026767
636,d3ad1351,9041884
637,d3ad1351,9057001
638,d3ad1351,9072171
639,d3ad1351,9087295
640,d3ad1351,9102420
641,d3ad1351,9117540
642,d3ad1351,9132660
643,d3ad1351,9147776
644,d3ad1351,9162997
645,d3ad1351,9178113
646,d3ad1351,9193233
647,d3ad1351,9208529
648,d3ad1351,9223647
649,d3ad1351,9238762
650,d3ad1351,9253879
651,d3ad1351,9269021
652,d3ad1351,9284164
653,d3ad1351,9299356
654,d3ad1351,9314474
655,d3ad1351,9329591
656,d3ad1351,9344814
657,d3ad1351,9359956
658,d3ad1351,9375074
659,d3ad1351,9390268
660,d3ad1351,9405542
661,d3ad1351,9420706
662,d3ad1351,9435877
663,d3ad1351,9451041
664,d3ad1351,9466260
665,d3ad1351,9481376
666,d3ad1351,9496521
667,d3ad1351,9511663
668,d3ad1351,9526783
669,d3ad1351,9541902
670,d3ad1351,9557020
671,d3ad1351,9572188
672,d3ad1351,9587359
673,d3ad1351,9602502
674,d3ad1351,9617620
675,d3ad1351,9632746
676,d3ad1351,9647864
677,d3ad1351,9663034
678,d3ad1351,9678155
679,d3ad1351,9693275
680,d3ad1351,9708420
681,d3ad1351,9723537
682,d3ad1351,9738656
683,d3ad1351,9753774
684,d3ad1351,9768895
685,d3ad1351,9784011
686,d3ad1351,9799158
687,d3ad1351,9814301
688,d3ad1351,9829444
689,d3ad1351,9844561
690,d3ad1351,9859707
691,d3ad1351,9874873
692,d3ad1351,9889993
693,d3ad1351,9905134
694,d3ad1351,9920310
695,d3ad1351,9935427
696,d3ad1351,9950579
697,d3ad1351,9965754
698,d3ad1351,9980874
699,d3ad1351,9996070
700,d3ad1351,10011191
701,d3ad1351,10026356
702,d3ad1351,10041501
703,d3ad1351,10056723
704,d3ad1351,10071994
705,d3ad1351,10087114
706,d3ad1351,10102241
707,d3ad1351,10117357
708,d3ad1351,10132526
709,d3ad1351,10147720
710,d3ad1351,10162865
711,d3ad1351,10177983
712,d3ad1351,10193103
713,d3ad1351,10208245
714,d3ad1351,10223390
715,d3ad1351,10238534
716,d3ad1351,10253654
717,d3ad1351,10268797
718,d3ad1351,10283918
719,d3ad1351,10299066
720,d3ad1351,10314234
721,d3ad1351,10329430
722,d3ad1351,10344650
723,d3ad1351,10359955
724,d3ad1351,10375101
725,d3ad1351,10390222
726,d3ad1351,10405373
727,d3ad1351,10420490
728,d3ad1351,10435661
729,d3ad1351,10450856
730,d3ad1351,10465976
731,d3ad1351,10481198
