Count,Modem,Time
250,d3ad0001,3834504
251,d3ad0001,3849798
252,d3ad0001,3865091
253,d3ad0001,3880384
254,d3ad0001,3895677
255,d3ad0001,3910969
256,d3ad0001,3926260
257,d3ad0001,3941554
258,d3ad0001,3956848
259,d3ad0001,3972141
260,d3ad0001,3987438
261,d3ad0001,4002730
262,d3ad0001,4018022
263,d3ad0001,4033314
264,d3ad0001,4048606
265,d3ad0001,4063903
266,d3ad0001,4079198
267,d3ad0001,4094491
268,d3ad0001,4109788
269,d3ad0001,4125081
270,d3ad0001,4140373
271,d3ad0001,4155665
272,d3ad0001,4170965
273,d3ad0001,4186259
274,d3ad0001,4201548
275,d3ad0001,4216845
276,d3ad0001,4232139
277,d3ad0001,4247432
278,d3ad0001,4262730
279,d3ad0001,4278026
280,d3ad0001,4293322
281,d3ad0001,4308615
282,d3ad0001,4323907
283,d3ad0001,4339201
284,d3ad0001,4354492
285,d3ad0001,4369784
286,d3ad0001,4385076
287,d3ad0001,4400372
288,d3ad0001,4415661
289,d3ad0001,4430953
290,d3ad0001,4446242
291,d3ad0001,4461534
292,d3ad0001,4476826
293,d3ad0001,4492118
294,d3ad0001,4507411
295,d3ad0001,4522705
296,d3ad0001,4537999
297,d3ad0001,4553296
298,d3ad0001,4568591
299,d3ad0001,4583883
300,d3ad0001,4599176
301,d3ad0001,4614469
302,d3ad0001,4629766
303,d3ad0001,4645060
304,d3ad0001,4660352
305,d3ad0001,4675645
306,d3ad0001,4690941
307,d3ad0001,4706233
308,d3ad0001,4721526
309,d3ad0001,4736817
310,d3ad0001,4752113
311,d3ad0001,4767406
312,d3ad0001,4782699
313,d3ad0001,4797995
314,d3ad0001,4813289
315,d3ad0001,4828585
316,d3ad0001,4843885
317,d3ad0001,4859177
318,d3ad0001,4874470
319,d3ad0001,4889764
320,d3ad0001,4905060
321,d3ad0001,4920353
322,d3ad0001,4935650
323,d3ad0001,4950943
324,d3ad0001,4966240
325,d3ad0001,4981532
326,d3ad0001,4996825
327,d3ad0001,5012118
328,d3ad0001,5027415
329,d3ad0001,5042708
330,d3ad0001,5057999
331,d3ad0001,5073295
332,d3ad0001,5088587
333,d3ad0001,5103880
334,d3ad0001,5119176
335,d3ad0001,5134471
336,d3ad0001,5149765
337,d3ad0001,5165058
338,d3ad0001,5180351
339,d3ad0001,5195644
340,d3ad0001,5210939
341,d3ad0001,5226232
342,d3ad0001,5241524
343,d3ad0001,5256817
344,d3ad0001,5272107
345,d3ad0001,5287402
346,d3ad0001,5302693
347,d3ad0001,5317988
348,d3ad0001,5333283
349,d3ad0001,5348581
350,d3ad0001,5363873
351,d3ad0001,5379166
352,d3ad0001,5394456
353,d3ad0001,5409751
354,d3ad0001,5425046
355,d3ad0001,5440343
356,d3ad0001,5455636
357,d3ad0001,5470930
358,d3ad0001,5486223
359,d3ad0001,5501518
360,d3ad0001,5516813
361,d3ad0001,5532109
362,d3ad0001,5547400
363,d3ad0001,5562693
364,d3ad0001,5577984
365,d3ad0001,5593275
366,d3ad0001,5608567
367,d3ad0001,5623862
368,d3ad0001,5639153
369,d3ad0001,5654450
370,d3ad0001,5669745
371,d3ad0001,5685042
372,d3ad0001,5700337
373,d3ad0001,5715629
374,d3ad0001,5730922
375,d3ad0001,5746215
376,d3ad0001,5761507
377,d3ad0001,5776800
378,d3ad0001,5792091
379,d3ad0001,5807384
380,d3ad0001,5822672
381,d3ad0001,5837967
382,d3ad0001,5853258
383,d3ad0001,5868554
384,d3ad0001,5883846
385,d3ad0001,5899141
386,d3ad0001,5914431
387,d3ad0001,5929724
388,d3ad0001,5945019
389,d3ad0001,5960316
390,d3ad0001,5975611
391,d3ad0001,5990911
392,d3ad0001,6006204
393,d3ad0001,6021499
394,d3ad0001,6036789
395,d3ad0001,6052084
396,d3ad0001,6067374
397,d3ad0001,6082667
398,d3ad0001,6097960
399,d3ad0001,6113251
400,d3ad0001,6128542
401,d3ad0001,6143835
402,d3ad0001,6159128
403,d3ad0001,6174424
404,d3ad0001,6189715
405,d3ad0001,6205007
406,d3ad0001,6220300
407,d3ad0001,6235592
408,d3ad0001,6250884
409,d3ad0001,6266176
410,d3ad0001,6281469
411,d3ad0001,6296762
412,d3ad0001,6312055
413,d3ad0001,6327352
414,d3ad0001,6342647
415,d3ad0001,6357940
416,d3ad0001,6373232
417,d3ad0001,6388532
418,d3ad0001,6403832
419,d3ad0001,6419126
420,d3ad0001,6434419
421,d3ad0001,6449714
422,d3ad0001,6465010
423,d3ad0001,6480309
424,d3ad0001,6495602
425,d3ad0001,6510897
426,d3ad0001,6526189
427,d3ad0001,6541482
428,d3ad0001,6556777
429,d3ad0001,6572073
430,d3ad0001,6587363
431,d3ad0001,6602656
432,d3ad0001,6617951
433,d3ad0001,6633244
434,d3ad0001,6648537
435,d3ad0001,6663829
436,d3ad0001,6679124
437,d3ad0001,6694421
438,d3ad0001,6709718
439,d3ad0001,6725011
440,d3ad0001,6740303
441,d3ad0001,6755598
442,d3ad0001,6770890
443,d3ad0001,6786186
444,d3ad0001,6801480
445,d3ad0001,6816772
446,d3ad0001,6832065
447,d3ad0001,6847357
448,d3ad0001,6862653
449,d3ad0001,6877950
450,d3ad0001,6893242
451,d3ad0001,6908535
452,d3ad0001,6923828
453,d3ad0001,6939125
454,d3ad0001,6954416
455,d3ad0001,6969709
456,d3ad0001,6984999
457,d3ad0001,7000292
458,d3ad0001,7015585
459,d3ad0001,7030882
460,d3ad0001,7046177
461,d3ad0001,7061472
462,d3ad0001,7076763
463,d3ad0001,7092055
464,d3ad0001,7107347
465,d3ad0001,7122644
466,d3ad0001,7137939
467,d3ad0001,7153232
468,d3ad0001,7168528
469,d3ad0001,7183821
470,d3ad0001,7199113
471,d3ad0001,7214406
472,d3ad0001,7229698
473,d3ad0001,7244991
474,d3ad0001,7260286
475,d3ad0001,7275579
476,d3ad0001,7290870
477,d3ad0001,7306163
478,d3ad0001,7321459
479,d3ad0001,7336751
480,d3ad0001,7352043
481,d3ad0001,7367336
482,d3ad0001,7382633
483,d3ad0001,7397928
484,d3ad0001,7413223
485,d3ad0001,7428518
486,d3ad0001,7443811
487,d3ad0001,7459106
488,d3ad0001,7474398
489,d3ad0001,7489693
490,d3ad0001,7504985
491,d3ad0001,7520280
492,d3ad0001,7535575
493,d3ad0001,7550868
494,d3ad0001,7566160
495,d3ad0001,7581453
496,d3ad0001,7596745
497,d3ad0001,7612038
498,d3ad0001,7627331
499,d3ad0001,7642623
500,d3ad0001,7657922
501,d3ad0001,7673215
502,d3ad0001,7688506
503,d3ad0001,7703802
504,d3ad0001,7719097
505,d3ad0001,7734390
506,d3ad0001,7749681
507,d3ad0001,7764973
508,d3ad0001,7780268
509,d3ad0001,7795564
510,d3ad0001,7810857
511,d3ad0001,7826154
512,d3ad0001,7841445
513,d3ad0001,7856739
514,d3ad0001,7872030
515,d3ad0001,7887328
516,d3ad0001,7902617
517,d3ad0001,7917910
518,d3ad0001,7933202
519,d3ad0001,7948493
520,d3ad0001,7963785
521,d3ad0001,7979083
522,d3ad0001,7994375
523,d3ad0001,8009667
524,d3ad0001,8024958
525,d3ad0001,8040253
526,d3ad0001,8055546
527,d3ad0001,8070842
528,d3ad0001,8086134
529,d3ad0001,8101430
530,d3ad0001,8116723
531,d3ad0001,8132016
532,d3ad0001,8147309
533,d3ad0001,8162601
534,d3ad0001,8177892
